msoa,black_count,population
E02001197,67,6277
E02001198,72,7524
E02001199,90,7904
E02001200,401,7887
E02001201,25,5788
E02001202,141,6452
E02001203,10,5861
E02001204,99,8925
E02001205,86,8427
E02001206,23,7270
E02001207,21,6847
E02001208,86,7570
E02001209,84,7768
E02001210,92,7436
E02001211,49,6670
E02001212,160,6989
E02001213,103,9922
E02001214,112,8020
E02001215,14,5970
E02001216,68,7843
E02001217,73,6759
E02001218,74,6022
E02001219,23,5283
E02001220,44,5675
E02001221,25,5863
E02001222,56,6480
E02001223,33,6666
E02001224,23,5784
E02001225,59,7374
E02001226,61,7181
E02001227,22,5690
E02001228,46,6260
E02001229,82,10306
E02001230,117,5870
E02001231,66,7098
E02001232,368,8695
E02001233,153,7991
E02001234,223,7939
E02001235,149,7215
E02001236,200,6115
E02001237,77,7217
E02001238,219,7992
E02001239,417,9539
E02001240,307,6383
E02001241,572,11204
E02001242,193,7056
E02001243,81,8235
E02001244,41,5408
E02001245,201,8046
E02001246,150,7434
E02001247,234,7417
E02001248,219,11983
E02001249,206,6372
E02001250,53,6479
E02001251,33,6095
E02001252,84,7540
E02001253,104,5013
E02001254,59,5634
E02001255,249,7682
E02001256,152,10545
E02001257,216,9122
E02001258,52,7437
E02001259,2064,11724
E02001260,148,7576
E02001261,855,8878
E02001262,809,8673
E02001263,100,8392
E02001264,488,8655
E02001265,96,8195
E02001266,379,6924
E02001267,127,7252
E02001268,50,7044
E02001269,404,8354
E02001270,130,8549
E02001271,124,6645
E02001272,129,8026
E02001273,148,9536
E02001274,173,8060
E02001275,220,8190
E02001276,250,8116
E02001277,365,9353
E02001278,175,8693
E02001279,97,8284
E02001280,192,8399
E02001281,69,7736
E02001282,120,10103
E02001283,99,9513
E02001284,61,8151
E02001285,90,7758
E02001286,127,8276
E02001287,17,6627
E02001288,47,8336
E02001289,27,10175
E02001290,26,6127
E02001291,102,7813
E02001292,97,8031
E02001293,51,6261
E02001294,113,7997
E02001295,190,7232
E02001296,314,9047
E02001297,36,6603
E02001298,137,8123
E02001299,32,8690
E02001300,67,7888
E02001301,148,9033
E02001302,43,7989
E02001303,295,9031
E02001304,40,12764
E02001305,31,8520
E02001306,41,7149
E02001307,38,11654
E02001308,74,5972
E02001309,106,8354
E02001310,171,9222
E02001311,147,8196
E02001312,108,8684
E02001313,196,8171
E02001314,85,8006
E02001315,145,9443
E02001316,257,7359
E02001317,154,9010
E02001318,43,7828
E02001319,134,8321
E02001320,89,7390
E02001321,25,8005
E02001322,8,7201
E02001323,89,7707
E02001324,59,8270
E02001325,66,8954
E02001326,56,8165
E02001327,96,9421
E02001328,64,10526
E02001329,51,7470
E02001330,71,9082
E02001331,59,10133
E02001332,164,7566
E02001333,102,9465
E02001334,109,6594
E02001335,76,8228
E02001336,52,7003
E02001337,29,5846
E02001338,50,6134
E02001339,25,6402
E02001340,71,9741
E02001341,56,7502
E02001342,17,7838
E02001343,53,7216
E02001344,40,5497
E02001345,22,5404
E02001346,58,7450
E02001347,113,8038
E02001348,38,6663
E02001349,66,8043
E02001350,291,8067
E02001351,273,8997
E02001352,127,6448
E02001353,103,7250
E02001354,131,7916
E02001355,131,6342
E02001356,352,9176
E02001357,184,7230
E02001358,150,6968
E02001359,73,5512
E02001360,436,8799
E02001361,171,7274
E02001362,82,7581
E02001363,231,7895
E02001364,277,6288
E02001365,526,9285
E02001366,282,8800
E02001367,49,9689
E02001368,238,7167
E02001369,406,8069
E02001370,543,7114
E02001371,117,7636
E02001372,105,6065
E02001373,175,8913
E02001374,821,8623
E02001375,98,6904
E02001376,1098,9323
E02001377,632,12384
E02001378,151,7377
E02001380,97,7552
E02001381,770,9837
E02001382,49,6901
E02001383,852,9555
E02001384,419,10802
E02001385,2295,9076
E02001386,64,8176
E02001387,90,7876
E02001388,179,8281
E02001389,440,6591
E02001390,838,9711
E02001391,52,5990
E02001392,34,6328
E02001393,60,7486
E02001394,187,8646
E02001395,77,5943
E02001396,213,7667
E02001397,65,7183
E02001398,177,7456
E02001399,57,7020
E02001400,148,6900
E02001401,59,7989
E02001402,108,9031
E02001403,85,6459
E02001404,131,7832
E02001405,166,9909
E02001406,17,7844
E02001407,14,5835
E02001408,5,5448
E02001409,24,10272
